"","V1","V2","blastp"
"66","Mpha_ver3_rna-XM_036294268.1_R0","gene_10058","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105143792 [Acromyrmex echinatior]"
"67","Sinv_RNA-XM_026139867.1_R0","gene_10059","PREDICTED: short-chain dehydrogenase/reductase family 16C member 6-like isoform X1 [Atta colombica]"
"69","Aech_RNA307_R2","gene_10005","trichohyalin-like [Temnothorax curvispinosus]"
"70","Aech_RNA18650_R0","gene_10060","PREDICTED: mitochondrial fission regulator 2-like [Acromyrmex echinatior]"
"72","Mpha_ver3_rna-XM_028191810.2_R9","gene_10061","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Atta cephalotes]"
"74","Aech_RNA3631_R4","gene_10006","PREDICTED: uncharacterized protein LOC105155032 [Acromyrmex echinatior]"
"75","Sinv_RNA-XM_011166943.2_R3","gene_10007","PREDICTED: uncharacterized protein LOC105152159 [Acromyrmex echinatior]"
"76","Aech_RNA12446_R0","gene_10008","PREDICTED: DENN domain-containing protein 1A [Acromyrmex echinatior]"
"77","Sinv_RNA-XM_026141182.1_R0","gene_10008","PREDICTED: LOW QUALITY PROTEIN: DENN domain-containing protein 1B [Atta cephalotes]"
"78","Mpha_ver3_rna-XM_012678569.3_R0","gene_10008","PREDICTED: DENN domain-containing protein 1A [Acromyrmex echinatior]"
"79","Sinv_RNA-XM_026141178.1_R0","gene_10008","PREDICTED: DENN domain-containing protein 1A [Acromyrmex echinatior]"
"80","Mpha_ver3_rna-XM_012678567.3_R0","gene_10008","DENN domain-containing protein 1A [Trachymyrmex zeteki]"
"81","Mpha_ver3_rna-XM_012678566.3_R0","gene_10008","DENN domain-containing protein 1A [Trachymyrmex zeteki]"
"82","Sinv_RNA-XM_026141181.1_R0","gene_10008","PREDICTED: DENN domain-containing protein 1A [Acromyrmex echinatior]"
"83","Aech_RNA7592_R3","gene_10009","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Acromyrmex echinatior]"
"85","Aech_RNA12450_R0","gene_10010","PREDICTED: outer dense fiber protein 3-like [Acromyrmex echinatior]"
"86","Mpha_ver3_rna-XM_028191908.2_R0","gene_10010","PREDICTED: outer dense fiber protein 3-like [Trachymyrmex septentrionalis]"
"87","Sinv_RNA-XM_011162357.2_R0","gene_10010","hypothetical protein G5I_08267 [Acromyrmex echinatior]"
"88","Sinv_RNA-XM_026141184.1_R0","gene_10062","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial [Acromyrmex echinatior]"
"90","Aech_RNA7200_R2","gene_10063","PREDICTED: uncharacterized protein LOC105144954 [Acromyrmex echinatior]"
"113","Mpha_ver3_rna-XM_036293203.1_R2","gene_10064","PREDICTED: uncharacterized protein LOC105571079 [Vollenhovia emeryi]"
"114","Sinv_RNA-XM_011174263.1_R0","gene_10065","PREDICTED: uncharacterized protein LOC105145719 [Acromyrmex echinatior]"
"115","Sinv_RNA-XM_026136003.1_R0","gene_10011","PREDICTED: putative nuclease HARBI1, partial [Cyphomyrmex costatus]"
"116","Sinv_RNA-XM_026136002.1_R0","gene_10066","hypothetical protein RF55_12909 [Lasius niger]"
"117","Sinv_RNA-XM_026140744.1_R4","gene_10012","PREDICTED: putative uncharacterized protein FLJ37770 [Trachymyrmex zeteki]"
"118","Sinv_RNA-XM_011173953.2_R1","gene_10013","PREDICTED: uncharacterized protein LOC105668131 [Linepithema humile]"
"119","Mpha_ver3_rna-XM_036293519.1_R9","gene_10067","hypothetical protein ALC57_15397 [Trachymyrmex cornetzi]"
"120","Aech_RNA12025_R0","gene_10014","PREDICTED: uncharacterized protein LOC105147885 [Acromyrmex echinatior]"
"121","Aech_RNA7193_R5","gene_10015","hypothetical protein ALC60_08178 [Trachymyrmex zeteki]"
"123","Sinv_RNA-XM_026142199.1_R2","gene_10016","hypothetical protein ALC57_10686 [Trachymyrmex cornetzi]"
"124","Mpha_ver3_rna-XM_036288876.1_R9","gene_10017","PREDICTED: uncharacterized protein LOC108729474 [Trachymyrmex zeteki]"
"125","Mpha_ver3_rna-XM_036294632.1_R0","gene_10068","ATP-dependent DNA helicase PIF1, partial [Trachymyrmex cornetzi]"
"126","Sinv_RNA-XM_011165386.1_R6","gene_10018","uncharacterized protein LOC105206790, partial [Solenopsis invicta]"
"127","Mpha_ver3_rna-XM_012669421.1_R6","gene_10069","uncharacterized protein LOC112639128 [Camponotus floridanus]"
"128","Sinv_RNA-XM_026141418.1_R8","gene_10070","hypothetical protein ALC57_03266 [Trachymyrmex cornetzi]"
"129","Aech_RNA3266_R9","gene_10019","Lachesin [Atta colombica]"
"130","Sinv_RNA-XM_011166635.1_R0","gene_10071","hypothetical protein ALC57_16777, partial [Trachymyrmex cornetzi]"
"131","Mpha_ver3_rna-XM_012687347.2_R1","gene_10020","PREDICTED: uncharacterized protein LOC105555720 [Vollenhovia emeryi]"
"134","Sinv_RNA-XM_011171422.1_R3","gene_10021","PREDICTED: uncharacterized protein LOC108774366 [Cyphomyrmex costatus]"
"135","Mpha_ver3_rna-XM_036284863.1_R3","gene_10072","PREDICTED: uncharacterized protein LOC105450764 [Wasmannia auropunctata]"
"136","Mpha_ver3_rna-XM_036287417.1_R2","gene_10073","dna-mediated transposase [Lasius niger]"
"137","Sinv_RNA-XM_011171878.1_R4","gene_10022","FLJ37770-like protein, partial [Acromyrmex echinatior]"
"138","Sinv_RNA-XM_011165578.1_R0","gene_10074","uncharacterized protein LOC112455996 [Temnothorax curvispinosus]"
"139","Mpha_ver3_rna-XM_036287024.1_R6","gene_10075","PREDICTED: uncharacterized protein LOC105571079 [Vollenhovia emeryi]"
"141","Aech_RNA3000_R4","gene_10076","PREDICTED: uncharacterized protein LOC105154620 [Acromyrmex echinatior]"
"142","Sinv_RNA-XM_011159302.2_R0","gene_10077","Zinc finger BED domain-containing protein 4, partial [Cyphomyrmex costatus]"
"145","Sinv_RNA-XM_011170578.1_R4","gene_10024","PREDICTED: uncharacterized protein LOC105154798 isoform X3 [Acromyrmex echinatior]"
"155","Aech_RNA3263_R0","gene_10023","PREDICTED: uncharacterized protein LOC105154798 isoform X2 [Acromyrmex echinatior]"
"157","Sinv_RNA-XM_011168242.1_R6","gene_10078","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105144657 [Acromyrmex echinatior]"
"158","Aech_RNA3261_R0","gene_10079","PREDICTED: uncharacterized protein LOC105154803 [Acromyrmex echinatior]"
"159","Aech_RNA3254_R2","gene_10080","PREDICTED: uncharacterized protein LOC105154801 [Acromyrmex echinatior]"
"160","Mpha_ver3_rna-XM_028192944.2_R1","gene_10081","protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1-like [Monomorium pharaonis]"
"161","Sinv_RNA-XM_026139483.1_R8","gene_10082","PREDICTED: uncharacterized protein LOC108779793 [Cyphomyrmex costatus]"
"162","Aech_RNA5255_R1","gene_10083","PREDICTED: uncharacterized protein LOC108727783 [Trachymyrmex zeteki]"
"163","Mpha_ver3_rna-XM_036285496.1_R0","gene_10084","PREDICTED: uncharacterized protein LOC105668987 [Linepithema humile]"
"167","Aech_RNA640_R0","gene_10025","basic helix-loop-helix transcription factor amos [Bombus terrestris]"
"168","Aech_RNA14445_R6","gene_10085","PREDICTED: uncharacterized protein LOC105143674 [Acromyrmex echinatior]"
"171","Sinv_RNA-XM_026141153.1_R0","gene_10026","PREDICTED: uncharacterized protein LOC105558828 [Vollenhovia emeryi]"
"172","Sinv_RNA-XM_011176758.2_R0","gene_10086","PREDICTED: uncharacterized protein LOC105143178 [Acromyrmex echinatior]"
"178","Sinv_RNA-XM_026140249.1_R7","gene_10087","uncharacterized protein LOC105205894 [Solenopsis invicta]"
"185","Aech_RNA3635_R7","gene_10027","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Acromyrmex echinatior]"
"187","Aech_RNA1369_R2","gene_10088","PREDICTED: uncharacterized protein LOC108727783 [Trachymyrmex zeteki]"
"188","Sinv_RNA-XM_026141716.1_R3","gene_10028","PREDICTED: uncharacterized protein LOC105144710, partial [Acromyrmex echinatior]"
"190","Aech_RNA6292_R6","gene_10089","PREDICTED: uncharacterized protein LOC105143696 [Acromyrmex echinatior]"
"191","Sinv_RNA-XM_026136623.1_R1","gene_10029","PREDICTED: uncharacterized protein LOC108731238 [Trachymyrmex zeteki]"
"192","Mpha_ver3_rna-XM_028188962.2_R0","gene_10090","PREDICTED: uncharacterized protein LOC108762696, partial [Trachymyrmex cornetzi]"
"193","Aech_RNA5129_R9","gene_10091","PREDICTED: uncharacterized protein LOC108777630 [Cyphomyrmex costatus]"
"194","Sinv_RNA-XM_011171536.1_R4","gene_10092","PREDICTED: uncharacterized protein LOC108778338 [Cyphomyrmex costatus]"
"196","Sinv_RNA-XM_026141293.1_R4","gene_10030","hypothetical protein RF55_12002 [Lasius niger]"
"197","Mpha_ver3_rna-XM_028191033.2_R7","gene_10031","hypothetical protein ALC60_03892 [Trachymyrmex zeteki]"
"198","Aech_RNA639_R0","gene_10032","PREDICTED: protein mahjong [Acromyrmex echinatior]"
"200","Mpha_ver3_rna-XM_028194779.2_R0","gene_10032","PREDICTED: protein mahjong [Acromyrmex echinatior]"
"201","Mpha_ver3_rna-XM_036287484.1_R1","gene_10093","krab-a domain-containing protein [Lasius niger]"
"202","Sinv_RNA-XM_026138971.1_R5","gene_10094","PREDICTED: uncharacterized protein LOC108727783 [Trachymyrmex zeteki]"
"203","Aech_RNA6227_R7","gene_10095","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Acromyrmex echinatior]"
"204","Mpha_ver3_rna-XM_036294837.1_R0","gene_10096","hypothetical protein ALC60_10346 [Trachymyrmex zeteki]"
"205","Aech_RNA11642_R1","gene_10033","PREDICTED: uncharacterized protein LOC105147647 [Acromyrmex echinatior]"
"206","Mpha_ver3_rna-XM_036290353.1_R6","gene_10034","uncharacterized protein LOC112637315 [Camponotus floridanus]"
"207","Aech_RNA638_R0","gene_10035","PREDICTED: uncharacterized protein LOC105144488 [Acromyrmex echinatior]"
"208","Aech_RNA7786_R1","gene_10097","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Acromyrmex echinatior]"
"209","Sinv_RNA-XM_026129872.1_R0","gene_10036","uncharacterized protein LOC105206992 [Solenopsis invicta]"
"210","Aech_RNA4439_R7","gene_10098","PREDICTED: uncharacterized protein LOC105143270 [Acromyrmex echinatior]"
"211","Aech_RNA3032_R6","gene_10099","hypothetical protein G5I_04111 [Acromyrmex echinatior]"
"212","Aech_RNA7564_R1","gene_10100","PREDICTED: uncharacterized protein LOC105145174 isoform X3 [Acromyrmex echinatior]"
"213","Mpha_ver3_rna-XM_036285868.1_R5","gene_13103","PREDICTED: uncharacterized protein LOC108779630 [Cyphomyrmex costatus]"
"214","Aech_RNA4417_R7","gene_13365","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC108750387 [Trachymyrmex septentrionalis]"
"216","Mpha_ver3_rna-XM_036290874.1_R3","gene_13104","DNA polymerase, partial [Trachymyrmex cornetzi]"
"217","Aech_RNA789_R0","gene_11948","PREDICTED: gamma-soluble NSF attachment protein-like isoform X1 [Acromyrmex echinatior]"
"220","Aech_RNA788_R0","gene_11948","PREDICTED: gamma-soluble NSF attachment protein-like isoform X2 [Acromyrmex echinatior]"
"221","Aech_RNA790_R0","gene_12102","PREDICTED: DNA polymerase epsilon subunit 3 [Acromyrmex echinatior]"
"224","Mpha_ver3_rna-XM_012675475.3_R0","gene_11949","PREDICTED: E3 ubiquitin-protein ligase LRSAM1-like [Acromyrmex echinatior]"
"226","Mpha_ver3_rna-XM_012675477.3_R0","gene_11949","PREDICTED: E3 ubiquitin-protein ligase LRSAM1-like [Acromyrmex echinatior]"
"228","Sinv_RNA-XM_026141485.1_R0","gene_11949","PREDICTED: E3 ubiquitin-protein ligase LRSAM1-like [Acromyrmex echinatior]"
"229","Aech_RNA792_R0","gene_11950","PREDICTED: uncharacterized protein LOC105145458 [Acromyrmex echinatior]"
"232","Aech_RNA1590_R1","gene_12103","Protein CLP1-like protein [Acromyrmex echinatior]"
"235","Sinv_RNA-XM_026141479.1_R0","gene_12104","PREDICTED: uncharacterized protein C1orf112 homolog [Acromyrmex echinatior]"
"237","Aech_RNA793_R0","gene_12104","PREDICTED: uncharacterized protein C1orf112 homolog [Acromyrmex echinatior]"
"238","Aech_RNA794_R0","gene_12105","PREDICTED: uncharacterized protein LOC105145568 [Acromyrmex echinatior]"
"239","Mpha_ver3_rna-XM_036290609.1_R0","gene_12105","PREDICTED: uncharacterized protein LOC105145568 [Acromyrmex echinatior]"
"240","Mpha_ver3_rna-XM_036290610.1_R0","gene_12105","PREDICTED: uncharacterized protein LOC105145568 [Acromyrmex echinatior]"
"241","Mpha_ver3_rna-XM_036290611.1_R0","gene_12105","PREDICTED: uncharacterized protein LOC108685249 isoform X2 [Atta colombica]"
"242","Sinv_RNA-XM_011173580.2_R0","gene_12105","PREDICTED: uncharacterized protein LOC105145568 [Acromyrmex echinatior]"
"243","Aech_RNA795_R0","gene_11951","PREDICTED: uncharacterized protein LOC105145485 isoform X1 [Acromyrmex echinatior]"
"245","Aech_RNA801_R0","gene_11951","PREDICTED: uncharacterized protein LOC105145485 isoform X2 [Acromyrmex echinatior]"
"246","Sinv_RNA-XM_011170774.2_R0","gene_12106","PREDICTED: ectonucleotide pyrophosphatase/phosphodiesterase family member 5-like [Atta colombica]"
"248","Aech_RNA815_R0","gene_12106","PREDICTED: ectonucleotide pyrophosphatase/phosphodiesterase family member 5-like [Acromyrmex echinatior]"
"249","Mpha_ver3_rna-XM_028190280.2_R0","gene_12106","PREDICTED: ectonucleotide pyrophosphatase/phosphodiesterase family member 5-like [Atta cephalotes]"
"250","Mpha_ver3_rna-XM_012685711.3_R0","gene_12107","PREDICTED: organic cation transporter protein [Atta colombica]"
"253","Sinv_RNA-XM_026132665.1_R1","gene_12107","PREDICTED: organic cation transporter protein [Atta colombica]"
"254","Mpha_ver3_rna-XM_012685306.3_R1","gene_12107","Organic cation transporter protein [Acromyrmex echinatior]"
"255","Aech_RNA823_R1","gene_12107","PREDICTED: organic cation transporter protein [Acromyrmex echinatior]"
"256","Aech_RNA817_R0","gene_12108","PREDICTED: solute carrier family 22 member 3-like isoform X1 [Acromyrmex echinatior]"
"259","Aech_RNA823_R2","gene_12108","PREDICTED: solute carrier family 22 member 3-like isoform X1 [Acromyrmex echinatior]"
"260","Mpha_ver3_rna-XM_012685306.3_R2","gene_12108","PREDICTED: solute carrier family 22 member 3-like isoform X1 [Acromyrmex echinatior]"
"261","Sinv_RNA-XM_011170781.2_R2","gene_12108","PREDICTED: solute carrier family 22 member 3-like isoform X1 [Acromyrmex echinatior]"
"262","Aech_RNA823_R0","gene_11952","PREDICTED: organic cation transporter protein-like [Acromyrmex echinatior]"
"265","Sinv_RNA-XM_011170789.2_R1","gene_11952","PREDICTED: organic cation transporter protein-like [Acromyrmex echinatior]"
"268","Mpha_ver3_rna-XM_012685711.3_R1","gene_11952","PREDICTED: organic cation transporter protein-like [Acromyrmex echinatior]"
"270","Sinv_RNA-XM_026132665.1_R0","gene_11952","PREDICTED: organic cation transporter protein-like [Acromyrmex echinatior]"
"271","Aech_RNA816_R1","gene_11952","PREDICTED: organic cation transporter protein-like [Acromyrmex echinatior]"
"272","Aech_RNA826_R0","gene_12109","PREDICTED: glutathione S-transferase-like [Acromyrmex echinatior]"
"275","Aech_RNA829_R0","gene_12110","PREDICTED: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 [Acromyrmex echinatior]"
"278","Aech_RNA834_R0","gene_11953","PREDICTED: alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase isoform X2 [Acromyrmex echinatior]"
"281","Aech_RNA830_R0","gene_11953","PREDICTED: alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase isoform X1 [Acromyrmex echinatior]"
"282","Sinv_RNA-XM_026137138.1_R0","gene_12111","PREDICTED: T-cell activation inhibitor, mitochondrial [Atta cephalotes]"
"284","Aech_RNA835_R0","gene_12111","PREDICTED: T-cell activation inhibitor, mitochondrial [Acromyrmex echinatior]"
"285","Mpha_ver3_rna-XM_012672108.3_R0","gene_12111","PREDICTED: T-cell activation inhibitor, mitochondrial [Atta cephalotes]"
"286","Mpha_ver3_rna-XM_012672109.3_R0","gene_12111","PREDICTED: T-cell activation inhibitor, mitochondrial [Acromyrmex echinatior]"
"287","Aech_RNA836_R0","gene_12112","PREDICTED: histone H2A-like [Megachile rotundata]"
"290","Aech_RNA12120_R6","gene_12112","histone H2A [Apis florea]"
"301","Aech_RNA837_R0","gene_12113","PREDICTED: UBX domain-containing protein 1 [Acromyrmex echinatior]"
"304","Aech_RNA838_R0","gene_11954","PREDICTED: ribonuclease Oy [Acromyrmex echinatior]"
"307","Aech_RNA839_R0","gene_11955","PREDICTED: ATP-binding cassette sub-family G member 1-like [Acromyrmex echinatior]"
"310","Mpha_ver3_rna-XM_028190049.2_R0","gene_11955","PREDICTED: ATP-binding cassette sub-family G member 1-like [Acromyrmex echinatior]"
"312","Sinv_RNA-XM_026137142.1_R0","gene_11955","PREDICTED: ATP-binding cassette sub-family G member 1-like [Acromyrmex echinatior]"
"313","Sinv_RNA-XM_026132097.1_R0","gene_11955","PREDICTED: ATP-binding cassette sub-family G member 1-like [Acromyrmex echinatior]"
"314","Aech_RNA841_R0","gene_11956","PREDICTED: ATP-binding cassette sub-family G member 1 isoform X1 [Acromyrmex echinatior]"
"317","Aech_RNA840_R0","gene_11956","PREDICTED: ATP-binding cassette sub-family G member 1 isoform X2 [Acromyrmex echinatior]"
"320","Mpha_ver3_rna-XM_036285494.1_R1","gene_11956","PREDICTED: ATP-binding cassette sub-family G member 1 isoform X1 [Acromyrmex echinatior]"
"321","Mpha_ver3_rna-XM_036286171.1_R1","gene_11956","PREDICTED: ATP-binding cassette sub-family G member 1 isoform X2 [Acromyrmex echinatior]"
"322","Sinv_RNA-XM_026136752.1_R4","gene_11956","ATP-binding cassette sub-family G member 1 [Acromyrmex echinatior]"
"323","Aech_RNA844_R0","gene_11957","PREDICTED: 40S ribosomal protein S28-like [Vollenhovia emeryi]"
"329","Aech_RNA1009_R0","gene_11958","PREDICTED: ATP-binding cassette sub-family G member 4 [Acromyrmex echinatior]"
"332","Mpha_ver3_rna-XM_036285494.1_R2","gene_11958","PREDICTED: ATP-binding cassette sub-family G member 4 [Acromyrmex echinatior]"
"333","Mpha_ver3_rna-XM_036286437.1_R4","gene_11958","PREDICTED: ATP-binding cassette sub-family G member 4 [Acromyrmex echinatior]"
"334","Sinv_RNA-XM_026135915.1_R3","gene_11958","ATP-binding cassette sub-family G member 4 [Trachymyrmex cornetzi]"
"335","Aech_RNA1008_R0","gene_12114","PREDICTED: TBC1 domain family member 15 [Acromyrmex echinatior]"
"338","Sinv_RNA-XM_011163121.2_R0","gene_12115","PREDICTED: uncharacterized protein LOC105146670 [Acromyrmex echinatior]"
"340","Aech_RNA1007_R0","gene_12115","PREDICTED: uncharacterized protein LOC105146670 [Acromyrmex echinatior]"
"341","Aech_RNA1006_R0","gene_12116","PREDICTED: uncharacterized protein LOC105146662 [Acromyrmex echinatior]"
"342","Aech_RNA1002_R0","gene_12117","PREDICTED: protein dachsous [Acromyrmex echinatior]"
"343","Sinv_RNA-XM_026136311.1_R0","gene_12117","PREDICTED: protein dachsous [Acromyrmex echinatior]"
"344","Mpha_ver3_rna-XM_036291030.1_R0","gene_12117","PREDICTED: protein dachsous [Acromyrmex echinatior]"
"345","Aech_RNA1004_R0","gene_11959","PREDICTED: deoxynucleoside kinase-like isoform X1 [Acromyrmex echinatior]"
"349","Aech_RNA1003_R0","gene_11959","PREDICTED: deoxynucleoside kinase-like isoform X1 [Acromyrmex echinatior]"
"351","Mpha_ver3_rna-XM_012682425.2_R1","gene_11959","PREDICTED: deoxynucleoside kinase-like isoform X1 [Acromyrmex echinatior]"
"354","Mpha_ver3_rna-XM_012679817.2_R0","gene_11959","PREDICTED: deoxynucleoside kinase-like isoform X1 [Acromyrmex echinatior]"
"355","Sinv_RNA-XM_011161783.2_R1","gene_11959","PREDICTED: deoxynucleoside kinase-like isoform X1 [Acromyrmex echinatior]"
"356","Aech_RNA1000_R0","gene_11960","PREDICTED: excitatory amino acid transporter isoform X1 [Acromyrmex echinatior]"
"359","Aech_RNA1001_R0","gene_11960","PREDICTED: excitatory amino acid transporter isoform X2 [Acromyrmex echinatior]"
"362","Aech_RNA9585_R1","gene_11960","PREDICTED: excitatory amino acid transporter isoform X1 [Acromyrmex echinatior]"
"364","Aech_RNA999_R0","gene_12118","PREDICTED: uncharacterized protein LOC105146625 [Acromyrmex echinatior]"
"367","Sinv_RNA-XM_026136305.1_R0","gene_12118","PREDICTED: uncharacterized protein LOC105146625 [Acromyrmex echinatior]"
"368","Sinv_RNA-XM_026136307.1_R0","gene_12118","PREDICTED: uncharacterized protein LOC105146625 [Acromyrmex echinatior]"
"369","Aech_RNA994_R0","gene_11961","PREDICTED: uncharacterized protein LOC105146580 isoform X1 [Acromyrmex echinatior]"
"372","Sinv_RNA-XM_026136308.1_R0","gene_11961","PREDICTED: uncharacterized protein LOC105146580 isoform X1 [Acromyrmex echinatior]"
"373","Aech_RNA993_R0","gene_12119","PREDICTED: uncharacterized protein LOC105146598 isoform X1 [Acromyrmex echinatior]"
"376","Aech_RNA992_R0","gene_12119","PREDICTED: uncharacterized protein LOC105146598 isoform X2 [Acromyrmex echinatior]"
"378","Aech_RNA989_R0","gene_12120","PREDICTED: polyphosphoinositide phosphatase isoform X1 [Acromyrmex echinatior]"
"382","Aech_RNA990_R0","gene_12120","PREDICTED: polyphosphoinositide phosphatase isoform X2 [Acromyrmex echinatior]"
"386","Aech_RNA988_R0","gene_11962","ubiquitin-60S ribosomal protein L40 [Apis mellifera]"
"394","Mpha_ver3_rna-XM_036290538.1_R0","gene_12121","PREDICTED: protein turtle [Acromyrmex echinatior]"
"396","Aech_RNA986_R0","gene_12121","PREDICTED: protein turtle [Acromyrmex echinatior]"
"397","Mpha_ver3_rna-XM_036290534.1_R0","gene_12121","PREDICTED: protein turtle [Acromyrmex echinatior]"
"398","Mpha_ver3_rna-XM_036290540.1_R0","gene_12121","PREDICTED: protein turtle [Acromyrmex echinatior]"
"399","Mpha_ver3_rna-XM_036290539.1_R0","gene_12121","PREDICTED: protein turtle [Acromyrmex echinatior]"
"400","Mpha_ver3_rna-XM_036290542.1_R0","gene_12121","PREDICTED: protein turtle [Acromyrmex echinatior]"
"401","Mpha_ver3_rna-XM_036290541.1_R0","gene_12121","PREDICTED: protein turtle-like isoform X6 [Trachymyrmex cornetzi]"
"402","Mpha_ver3_rna-XM_036290543.1_R0","gene_12121","protein turtle isoform X18 [Nylanderia fulva]"
"403","Mpha_ver3_rna-XM_036290544.1_R0","gene_12121","protein turtle isoform X18 [Nylanderia fulva]"
"404","Aech_RNA985_R0","gene_12122","PREDICTED: protein turtle isoform X1 [Acromyrmex echinatior]"
"407","Aech_RNA984_R0","gene_12122","PREDICTED: protein turtle isoform X2 [Acromyrmex echinatior]"
"410","Sinv_RNA-XM_011177055.2_R0","gene_12122","PREDICTED: protein turtle isoform X1 [Acromyrmex echinatior]"
"411","Aech_RNA983_R0","gene_12123","PREDICTED: protein croquemort-like [Acromyrmex echinatior]"
